show,season,episode_n,season_n,title,director,writer,air_date
The Mandalorian,Season 1,1,1,"""Chapter 1: The Mandalorian""",Dave Filoni,Jon Favreau,12-Nov-19
The Mandalorian,Season 1,2,2,"""Chapter 2: The Child""",Rick Famuyiwa,Jon Favreau,15-Nov-19
The Mandalorian,Season 2,10,2,"""Chapter 10: The Passenger""",Peyton Reed,Jon Favreau,6-Nov-20
The Mandalorian,Season 2,11,3,"""Chapter 11: The Heiress""",Bryce Dallas Howard,Jon Favreau,13-Nov-20
NCIS,Season Season 1 (2003–04),1,1,"""Yankee White""",Donald P. Bellisario,,23-Sep-03
NCIS,Season Season 1 (2003–04),23,23,"""Reveille""",Thomas J. Wright,Donald P. Bellisario,25-May-04
NCIS,Season Season 2 (2004–05),24,1,"""See No Evil""",Thomas J. Wright,Chris Crowe,28-Sep-04
NCIS,Season Season 2 (2004–05),46,23,"""Twilight""",Thomas J. Wright,John C. Kelley,24-May-05
